,Student name,Image_ID,Dissected?,Replicate,Pop,Assay,Parent_Gen,Incubator_Temp,WB_Temp,Sex,Femur_Length,Wing_Length,Body_Area,Comments,No_wing,No_femur
,,IMG01013,Y,1,2,PA,0,Random,27,F,12.862,48.699,NA,,,
,,IMG01014,N,2,2,PA,0,Random,27,F,NA,NA,841.275,,,
,,IMG01015,Y,2,2,PA,0,Random,27,F,12.057,45.649,NA,,,
,,IMG01016,N,3,2,PA,0,Random,27,F,NA,NA,923.615,,,
,,IMG01017,Y,3,2,PA,0,Random,27,F,13.008,43.992,NA,,,
,Trisha,IMG05398,N,4,2,PA,0,Random,27,F,NA,NA,932.547,,,
,Trisha,IMG05399,Y,4,2,PA,0,Random,27,F,12.899,48.119,NA,,,
,Trisha,IMG05400,N,5,2,PA,0,Random,27,F,NA,NA,935.194,,,
,Trisha,IMG05401,Y,5,2,PA,0,Random,27,F,11.469,48.759,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01066,N,1,2,PA,0,Random,29,F,NA,NA,890.068,,,
,,IMG01067,Y,1,2,PA,0,Random,29,F,12.029,45.476,NA,,,
,,IMG01068,N,2,2,PA,0,Random,29,F,NA,NA,905.035,,,
,,IMG01069,Y,2,2,PA,0,Random,29,F,11.662,45.919,NA,,,
,,IMG01070,N,3,2,PA,0,Random,29,F,NA,NA,1051.336,,,
,,IMG01171,Y,3,2,PA,0,Random,29,F,13.934,48.671,NA,,,
,Trisha,IMG05434,N,4,2,PA,0,Random,29,F,NA,NA,844.99,,,
,Trisha,IMG05435,Y,4,2,PA,0,Random,29,F,11.615,46.264,NA,,,
,Trisha,IMG05436,N,5,2,PA,0,Random,29,F,NA,NA,927.733,,,
,Trisha,IMG05437,Y,5,2,PA,0,Random,29,F,12.658,50.122,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01114,N,1,2,PA,0,Random,31,F,NA,NA,794.182,,,
,,IMG01115,Y,1,2,PA,0,Random,31,F,12.152,43.693,NA,,,
,,IMG01116,N,2,2,PA,0,Random,31,F,NA,NA,703.796,,,
